id,categoryId,country,name,description,person,phone,email,website,wechat,logo,capacity,size,export,commitment
11,3,Malawi马拉维,Dedza Pottery,"Dedza Pottery is a family-run Malawian business blending traditional craftsmanship with modern creativity. Renowned for handcrafted ceramics, it offers functional and decorative pieces celebrated locally and internationally. Complemented by two lodges in Dedza and Nkhotakota, the business combines artistry, hospitality, and cultural experiences in a unique destination.Dedza Pottery 是一家马拉维家族经营企业，将传统工艺与现代创意相融合。该工坊以手工陶瓷制品闻名，推出的实用型与装饰型陶瓷单品在当地及国际市场均广受赞誉。此外，工坊还在德扎（Dedza）和恩科塔科塔（Nkhotakota）两地配套运营着两家旅舍，将艺术创作、 hospitality（ hospitality 在此处指 “特色住宿服务” ）与文化体验融入同一独特目的地，打造出别具一格的体验模式。 ",Ms. Chifuno STEVENS,265999002485, ,www.dedza-pottery.com,chifuno@dedza-pottery.com,logo.jpg,500 - 800 pieces/month,98 employees,"USA, UK, Germany, Australia, South Africa","Supporting sustainable livelihoods by employing and training local artisans, environmentally responsible practices and waste reduction, eco-tourism partnerships with other companies.通过雇佣和培训当地工匠来支持可持续生计，采用对环境负责的做法并减少浪费，与其他公司建立生态旅游合作伙伴关系。"
12,3,Mongolia蒙古,Sain tumen cashmere LLC,"Sain Tumen Cashmere (ST Cashmere) designs and manufactures 100% pure Mongolian knitted cashmere clothing and accessories. We value quality at every stage of production, from raw materials to finished products, and strive to produce environmentally friendly products that meet the needs of our customers and global fashion trends.赛因图门羊绒（ST 羊绒）公司设计并生产100%纯正蒙古产的针织羊绒服装及配饰。我们在生产过程的每一个环书都垂视品质，从原材料到成品，力求生产出既环保又符合客户需求和全球时尚潮流的产品。",Mrs. Sainbileg GANBOLD,-99188161,stcashmere@gmail.com,www.stcashmere.com,sainaa_smile,"logo,jpg",1000-2000 Pieces/month,24 persons,"Republic of Korea, China, Poland, Germany, Latvia, and the Czech Republic.大韩民国、中国、波兰、德国、拉脱维亚和捷克共和国。",Special social – eco commitments特殊社会-经济承诺
13,3,Morocco摩洛哥,COLORADO,"Founded in 1962, COLORADO is a Moroccan industrial company that manufactures and distributes paints, coatings and varnishes. Listed on the Casablanca Stock Exchange in 2006, COLORADO became in 2007 the regional leader in West and North Africa.​COLORADO 公司成立于 1962 年，是一家摩洛哥工业企业，专业生产并销售油漆、涂料及清漆。该公司于 2006 年在卡萨布兰卡证券交易所上市，并在 2007 年成为西非和北非地区的行业领导者。COLORADO 拥有多项核心优势：产品种类丰富，涵盖工业用漆、建筑用漆及功能型涂料；拥有完整的生产线，配备采用欧洲最新尖端技术的设备，产能达 10 万吨；在质量、安全与环境方面采取积极主动的举措，并因此获得了 ISO 9001（质量）、ISO 14001（环境）及 ISO 45001（职业健康与安全）认证；业务遍及全球，覆盖超过 23 个国家。",Mrs. CHAHIRA MOUGOUDE,212661322802,mougoude@colorado.ma,www.colorado.ma/en,wxid_y53we3j7918i12,"logo,jpg",100 000 tons /year,241 persons,SENEGAL- IVORY COST- FRANCE- ALGERIA and many more塞内加尔-科特迪瓦-法国-阿尔及利亚等更多国家,ECOLABEL- HQE™ – High Environmental Quality- ISO 9001- ISO 14001- ISO 45001- ISO 27001环保标签- 高品质环境™ - 高环境质量- ISO 9001- ISO 14001- ISO 45001- ISO 27001
14,3,Nepal尼泊尔,BEST HIMALAYA EXPORT PVT LTD,"Best Himalaya Export is a Nepalese company that exports high-quality singing bowls and felt products crafted using traditional methods.Our product offering includes a wide range of singing bowls, felt items in various tones, designs and sizes.Best Himalaya’s strength lie in expertise in unique craftsmanship, ethical and sustainable practices, and commitment to preserving cultural heritage.Our innovative advantage lie in our ability to blend traditional techniques with modern technologies to create unique and high-quality products.Best Himalaya Export 是一家尼泊尔公司，主要出口采用传统工艺制作的高品质颂钵与毛毡制品。我们的产品种类丰富，涵盖多款颂钵，以及不同音调、图案与尺寸的毛毡制品。Best Himalaya 的核心优势在于：拥有独特工艺的专业技术、秉持符合道德准则的可持续经营模式，以及致力于保护文化遗产的坚定理念。而我们的创新优势则体现在能够将传统工艺与现代技术相融合，打造出兼具独特性与高品质的产品",Ms. Usha Duwadi,+977 9851249906,besthimalayasupply@gmail.com,www.besthimalaya.com,best_himalaya,"logo,jpg","60,000 units/month",100 persons,"USA, China, UK, Germany, Italy, Canada, Japan, Australia and many more.美国、中国、英国、德国、意大利、加拿大、日本、澳大利亚等众多国家。","Treating all employees, customers and stakeholders with respect, fairness and equality. Encouraging diversity and inclusivity in our workplace and community events and initiatives that align with our values.Provide safe and healthy working conditions for our employees以尊重、公平和平等的态度对待所有员工、客户及利益相关方。- 在工作场所及社区活动中倡导多元包容，开展符合我们价值观的倡议行动。- 为员工提供安全健康的工作环境。"
15,3,Nepal尼泊尔,Divya Pashmina Udyog,"Divya, a company empowering women artisans to become income owners and creators of change. Each piece blends tradition and modern design, crafted with skill, pride, and purpose. Rooted in Nepal’s heritage, working with sustainable materials we produce timeless elegance, global sophistication, and women’s empowerment into every thread.Divya 是一家致力于赋能女性手工艺人的公司，助力她们成为收入的掌控者与变革的缔造者。每一件产品都融合了传统元素与现代设计，凝聚着手工艺人的精湛技艺、创作自豪与明确初心。公司深植于尼泊尔的文化遗产，选用可持续材料进行生产，力求在每一根丝线中都融入永不过时的优雅质感、接轨全球的精致格调，以及对女性力量的赋能。",Mr Upendra Giri,-9851073203,info@divyapashmina.com,www.Divyapashmina.com,,,"13,000 Pieces/ Month",64 Persons,"UK, USA, Japan, Germany英国，美国，日本，德国","Women Empowerment, Fair wages, Sustainable Material女性赋权、公平薪资、可持续材料"
16,3,Philippines菲律宾,"BEBEBALM, INC.","Bebebalm 倍蓓棒 天然皮肤救援,适合提供给妈妈,婴儿,儿童和以及皮肤敏感人群用。 出生于母亲的绝望。一个婴儿出生时皮肤非常干燥、发痒、易患湿疹。 爸爸是个医生和生物化学家，妈妈对统 医学知识渊博。 通过结合他们在科学与自然方面的知识，为家庭提供有效而温和的植物性皮肤解决方案。BEBEBALM. NATURAL SKIN RESCUE for moms, babies & kids; and adults with sensitive skin. Born from a mom’s love & desperation for her baby’s dry, itchy, eczema-prone skin. The dad’s a doctor, the mom knows traditional remedies. They combined Science + Nature for effective yet gentle plant-based skin solutions for the family. ",Ms. Carol ONG,+86 135 21796710 ,Hello.bebebalm@gmail.com,https://Bebebalm.com,+86 135 21796710 ,"logo,jpg",Big & small orders welcome大单小单皆欢迎,5 persons,"China, USA",To help families save the day by giving access to amazing Philippine plant benefits & skincare innovations.帮助家庭通过获取神奇的菲律宾植物功效与护肤创新来度过美好一天。
17,3,South Sudan南苏丹,MAYO trading company ltd,"May Co. Ltd specializes in manufacturing high-quality footwear, apparels and accessories using premium leather. Additionally, the company is involved in collecting, preparing, and exporting hides and skins, ensuring top-grade raw materials. Committed to quality and sustainability, Mayo Co. Ltd combines craftsmanship with efficient processing to serve global markets with exceptional products.
May Co. Ltd专注于采用优质皮革制造高品质鞋履、服装及配饰。此外，公司还负责生皮原料的收购、加工与出口业务，确保提供顶级原材料。秉持对品质与可持续性的承诺，五月有限公司将精湛工艺与高效加工相融合，以卓越产品服务全球市场。",,,,,,logo.jpg,"1000- 2000 LEATHER PRODUCTS
PER MONTH ",20 PERSONS ,"EAST AFRICA, SOUTH AFRICA ",Special social – eco commitments专项社会环保责任 
18,3,Sri Lanka斯里兰卡,The Empress Kingdom,"The Empress is a sustainable skincare brand from Sri Lanka, offering toxic-free soaps, sugar wax, and clay masks crafted with botanicals, clays, and Ceylon spices. Our strengths lie in natural, safe formulations, eco-friendly packaging, and empowering women suppliers. Innovation blends ancient wisdom with modern science for luxurious, sustainable beauty.
Empress 是源自斯里兰卡的可持续护肤品牌，提供无毒素皂类、糖蜡和粘土面膜，所有产品均采用植物精粹、天然粘土及锡兰香料匠心研制。我们的核心优势在于天然安全的配方、环保包装以及对女性供应商的赋能。通过将古老智慧与现代科技相融合，我们不断创新，打造奢华且可持续的美丽盛宴。",Ms.. Tharika (Tara) Keragala Arachchi ,94777757763,info.empresskingdom@gmail.com ,https://empresskingdom.shop/ ,TaraK89TEK ,logo.jpg,PRODUCTION CAPACITY: Pieces/month : 1000,10,"Netherlands, United Kingdom, UAE, Singapore, Indonesia (Indirect Exports) ","Wellbeing & Wellness,empower women in business, Community empowerment.
福祉与健康、赋能女性从商、社区赋权。 "
19,3,Tunisia突尼斯,El bochra company,"Bahia Laboratoire is a Tunisian brand of organic and sensory cosmetics. Founded in 2016 and based in Kairouan, we transform the treasures of our land into exceptional skincare,We offer also food supplements. using a majority of raw materials from our own certified organic farms.
Bahia Laboratoire 是突尼斯的有机感官护肤品牌，2016年创立于凯鲁万。我们将这片土地孕育的瑰宝转化为卓越的护肤产品，并同时提供膳食补充剂系列，所用原材料主要来自我们自有的认证有机农场。", Bouchra Masrour Aouani ,21653351358,bahiacosmetics@gmail.com ,wwww.bahiacosmetic.com ,wxid-ymjeg8s5e01g22 ,,"1/prickly pear seed oil 60 litres
2/Olive oil 1000 litres 
3/durum wheat 50tonnes
4/vinegar 1000 litres

Pieces/month
2000 bottles 10ml/month
800bottle/250ML

1000 BOTTLE/250ML ",30（10+20 rural women）,,"ethical and sustainable.
Special social – eco commitments the construction of the rural cottage
本企业秉持道德与可持续发展理念，恪守特殊的社会生态责任——积极投身乡村小屋建设项目。"
20,3,Uganda乌干达,JOY HORN CRAFTS,"Joy horn crafts is a manufacturing company s pecializing in the production of crafts from raw cow horns.Joy horn crafts manufactures a wide range of crafts from cow horns.We out source raw horns from city abattoirs th en turn them into luxury gifts and souvenirs Pr oducts are health and environment friendly.
Joy Horn Crafts 是一家专业从事牛角工艺品制造的厂商，致力于利用原始牛角原料打造各类工艺制品。我们从市立屠宰场采购原始牛角，将其精制成高端礼品与纪念品。所有产品均对健康无害，且符合环保标准。",Mr. Timothy Ssenkandwa,+256765622680,kiwumuloketra@gmail.com｜ssenkandwa3@gmail.com,https://joyhornscraft.com/,-765622424,logo.jpg,1 ton,20 persons ," Beijing China, Belgium, Canada ,Italy ","company focuses on production of eco friendly products and cow horn is an organic product and doesn't damage the environment
本公司致力于生产环保产品，而牛角作为一种有机材料，不会破坏环境。"
21,3,United Republic of Tanzania (the)坦桑尼亚联合共和国,NANA naturals,,,,,,,,,,,
22,3,Viet Nam越南,Mekong Coconut Oil Company Limited,"Mekong Coconut Oil Company, specializes in the production of different types of PURE - UNREFINED Coconut Oil. Our key innovation includes application of Bio Technology to produce Premium Coconut Oil with fast absorption for natural and effective skincare, including anti-aging and moisturizing and hair care /repair
湄公椰子油公司专注于生产各类纯天然、未精炼椰子油。我们的核心技术突破在于运用生物工艺打造出快速吸收型优质椰子油，适用于天然高效护肤（包括抗衰老与保湿）及修护秀发领域。",lMr/s. First name Thuy Hoang,+86 182 7594 3503,sales@cocovie.com.vn,http://www.cocovie.com.vn,wxid_canavzvkjp2s22,logo.jpg,"100,000 pieces/month，100 tons of oil",20 N° persons,"Turkey, USA, Australia, Korea","Empowering Women-Developing Community and Restoring Biodiversity
女性赋能——社区发展与生态共建  "
23,3,Zambia赞比亚,Authentic Crafts Limited (Namayo jewellery brand name)," We are a Zambian social enterprise. Our brand Namayo Handmade crafts elegant, sustainable pieces that empower women. We blend cultural heritage with modern design, offering ethical production, artisan training, and impact-driven storytelling. Our innovative model combines beauty, dignity, and measurable social change, tailored for upscale markets and conscious consumers.
我们是一家赞比亚社会企业，旗下Namayo Handmade品牌致力于打造优雅永续的手工精品，为女性赋能。品牌将文化遗产与现代设计相融合，坚持道德生产、开展手工艺人培训、推行影响驱动型叙事。这一创新商业模式融汇美学价值与人文尊严，创造可衡量的社会变革，专为高端市场与意识觉醒消费者量身打造。 ",Ms. Nyawa Chipalabela  ,±260 967972920/ 774510225 ,sales@namayojewellery.com ,,wxid_d8j3yjj601p322 ,,1000pieces/month ,,"USA, South Africa,China,Euplrope ","Empowering women, ethical sourcing, artisan training, sustainable design, cultural pride, dignity, social impact.女性赋能，道德采购，工匠培训，可持续设计，文化传承，尊严守护，社会影响。   "
24,4,Botswana 博茨瓦纳,Eana Safari Travel,"Eana Safari Travel curates remarkable private safaris across Botswana - from the Kalahari and Okavango Delta to immersive diamond tourism journeys. We also showcase Botswana’s heritage through its iconic postage stamps, offering collectors and travellers a unique cultural keepsake. Our journeys champion eco-tourism and travel for impact, creating rare experiences that celebrate culture, conservation, and community.",Ms. Ella Motlhageng,+26771825493,hello@eanasafari.com,https://sites.google.com/eanasafari.com/home,wxid_atloqqxnfucb12,logo.jpg,Minimum 8 nights per trip. 每趟旅程最少8晚,3,"USA, Kenya 美国、肯尼亚","Sponsor towards an emergency rescue center for orphans and vulnerable children based in Maun, Botswana. 赞助位于博茨瓦纳毛恩的一个孤儿和弱势儿童紧急救援中心"
25,4,Botswana 博茨瓦纳,Lebone Enterprise Development Agency,"We provide sustainable agribusiness solutions through the 4temo program by revolutionizing agriculture through technology and sustainability. Their services include drone and tractor operations, data analysis, and land restoration. The innovative advantage is empowering small and medium-sized farmers with accessible, advanced technology to optimize operations, increase profitability, and enhance soil health.",Mr. Abdullah Gaseitsiwe,+26772136725,abdul@lebone.co.bw,www.lebone.co.bw,Thutology,logo.jpg,15 farms per month during ploughing season. 耕季每月服务15个农场,8,Not exporting services yet. 目前尚未开发出口服务,Sustainable Agriculture. Increased Community profitability. Knowledge transfer & capacity building in communities. 可持续农业；提高社区盈利能力；社区知识传递与能力建设
26,4,Cameroon 喀麦隆,APP COMPANY LIMITED,"APP Company Ltd is a dynamic innovation hub dedicated to creating transformative digital solutions that address real-world challenges. We bring together cutting-edge technology, creative thinking, and industry expertise to develop projects that make a difference.",Mr. Komtong Princely Tem,+237676111963,appcompanyltd@gmail.com,appcompanyltd.com,,logo.jpg,,12,"Ghana, Nigeria, China 戛纳，尼日利亚，中国",To make the lives of Africans and the rest of the world easier and simper by digitization. 用数字化让非洲人和全世界人民的生活更轻松。
27,4,Central African Republic 中非共和国,GBNM Systèmes Marketing Digital,"Management of implementation of digital marketing strategies, acquisition, management, sales, commercial and industrial as well as all activities related to human resources management, developing ethical marketing practices that are accessible and respectful of customers and growing production of primary local necessities and with a view to exporting, making them affordable for all, adapting to the budget, (consumable, agricultural (cassava/manioc ) cassava staple food processed into flour , and artistic products).",Mr/s. Armel Goyoro,0023672401070 / 0023675575301,gbnm.sys@gmail.com,,,,38,N°4 4人,Cameroon 喀麦隆,Local community development and mobility for all and the fight against discrimination Promoting inclusion and diversity. 人人都能享受当地社区发展和社会流动性，打击歧视，促进包容性和多样性。
28,4,Costa Rica 哥斯达黎加,Mar y Comercio,"We connect China with Central America and the Caribbean through procurement of marine products such as responsible seafood and recycled marine plastics. We also develop: 1. Corporate social responsibility projects (CSR) with local communities; 2. Emission reduction and plastic-free transitions in operations; 3. Market research, marketing, and international logistics solutions for sustainable trade.",Ms. Marilyn Stephanie Valverde Salas,+50670113018,marycomercioazul@gmail.com,https://marycomercio.com/,mvalverdecr / marycomercio,logo.jpg,As required 按需服务,+5,United States 美国,All of our projects and services help ocean conservation efforts. 我们的所有项目和服务都有助于海洋保护工作
29,4,Ecuador 厄瓜多尔,KYRIOS CONSULTING INTEGRADORES TECNOLOGICOS KYRIOSCONS S.A,"Leading technology integrator in Ecuador with over two decades of experience. We deliver tailored, innovative digital solutions that enhance business transformation and growth. Our strengths include flexibility, deep expertise, strategic partnerships with ManageEngine, Kaspersky, Grandstream, Sangoma, and Elliot Cloud, plus a customer-focused approach that ensures measurable results and long-term success.",Mr. Luis Almeida,+593995142505,lalmeida@kyrios.ec,www.kyrios.ec,wxid_l1etdhtd2um822,logo.jpg,"Custom enterprise-level projects, 10+ deployments per month, plus ongoing support for 30+ active clients under managed service schemes. 每月部署10+定制企业级项目；管理服务方案下持续支持30+活动客户端。",15,"Colombia, Mexico, Spain, USA, Argentina, Peru 哥伦比亚、墨西哥、西班牙、美国、阿根廷、秘鲁",We promote sustainability and social responsibility by partnering with local foundations and holding certifications that protect the environment and support vulnerable communities. 为秉持可持续性与社会责任，我们与当地基金会合作，并获取了保护环境和支持弱势社区的证书。
30,4,Ecuador 厄瓜多尔,Promotick,"Promotick, based in Ecuador, specializes in loyalty solutions and global sourcing. We design innovative programs that strengthen customer relationships while connecting businesses with trusted international suppliers. Our strengths lie in flexibility, competitive sourcing, and a strong supplier network. By combining loyalty expertise with sourcing innovation, we help partners achieve sustainable growth and efficiency. Promotick总部位于厄瓜多尔，专注于忠诚度解决方案和全球采购。我们设计的创新方案能够加强客户关系，同时与值得信任的供应商建立业务。我们的优势在于灵活性，竞争性采购以及强大的供应商网络。我们将忠诚度专长和采购创新进行结合，帮助合作伙伴达到可持续增长和效率的目标。",Mr. Victor Almeida,+593978715120,valmeida@promotick.com / victorandres747@gmail.com,www.promotick.com,vican2294,logo.jpg,Platform capacity supporting 3 million active users monthly 平台支持每月超300万活动用户,35,"Colombia, Peru, Pnama, Mexico, Guatemala, Chile, Bolivia 哥伦比亚、秘鲁、巴拿马、墨西哥、危地马拉、智利、玻利维亚","Ethical sourcing, supporting local communities 道德采购，支持当地社区"
